date,saving
1/1/1955,4.9
4/1/1955,5.2
7/1/1955,5.7
10/1/1955,5.7
1/1/1956,6.2
4/1/1956,6.7
7/1/1956,6.9
10/1/1956,7.1
1/1/1957,6.6
4/1/1957,7
7/1/1957,6.9
10/1/1957,6.4
1/1/1958,6.6
4/1/1958,6.4
7/1/1958,7
10/1/1958,7.3
1/1/1959,6
4/1/1959,6.3
7/1/1959,4.8
10/1/1959,5.3
1/1/1960,5.4
4/1/1960,4.7
7/1/1960,4.9
10/1/1960,4.4
1/1/1961,5.1
4/1/1961,5.3
7/1/1961,6
10/1/1961,5.9
1/1/1962,5.9
4/1/1962,5.6
7/1/1962,5.3
10/1/1962,4.5
1/1/1963,4.7
4/1/1963,4.6
7/1/1963,4.3
10/1/1963,5
1/1/1964,5.2
4/1/1964,6.2
7/1/1964,5.8
10/1/1964,6.7
1/1/1965,5.7
4/1/1965,6.1
7/1/1965,7.2
10/1/1965,6.5
1/1/1966,6.1
4/1/1966,6.3
7/1/1966,6.4
10/1/1966,7
1/1/1967,7.6
4/1/1967,7.2
7/1/1967,7.5
10/1/1967,7
1/1/1968,7.6
4/1/1968,7.2
7/1/1968,7.5
10/1/1968,7.8
1/1/1969,7.2
4/1/1969,7.5
7/1/1969,5.6
10/1/1969,5.7
1/1/1970,4.9
4/1/1970,5.1
7/1/1970,6.2
10/1/1970,6
1/1/1971,6.1
4/1/1971,7.5
7/1/1971,7.8
10/1/1971,8
1/1/1972,8
4/1/1972,8.1
7/1/1972,7.6
10/1/1972,7.1
1/1/1973,6.6
4/1/1973,5.6
7/1/1973,5.9
10/1/1973,6.6
1/1/1974,6.8
4/1/1974,7.8
7/1/1974,7.9
10/1/1974,8.7
1/1/1975,7.7
4/1/1975,7.3
7/1/1975,6.7
10/1/1975,7.5
1/1/1976,6.4
4/1/1976,9.7
7/1/1976,7.5
10/1/1976,7.1
1/1/1977,6.4
4/1/1977,6
7/1/1977,5.7
10/1/1977,5
1/1/1978,4.2
4/1/1978,5.1
7/1/1978,5.4
10/1/1978,5.1
1/1/1979,5.3
4/1/1979,5
7/1/1979,4.8
10/1/1979,4.7
1/1/1980,5
4/1/1980,5.4
