date,avg_price,total_sold,small_sold,large_sold,xl_sold,total_bags_sold,small_bags_sold,large_bags_sold,xl_bags_sold
2016-12-25,1,30290000,9255000,10280000,542000,10210000,7710000,2417000,81101.22
2016-12-18,0.96,29580000,9394000,10340000,427900,9423000,6970000,2358000,94011.78
2016-12-11,0.98,30090000,9010000,NaN,403000,10710000,8149000,2490000,73342.82
2016-12-04,1,31620000,11040000,9909000,428000,10240000,7187000,2989000,65350.63
2016-11-27,1.21,22920000,7891000,7337000,NaN,7350000,5691000,1610000,48623.28
2016-11-20,1.27,24990000,NaN,8034000,407600,8017000,6207000,1766000,44709.40
2016-11-13,1.36,24080000,8235000,7760000,477500,7603000,5603000,1957000,43104.31
2016-11-06,1.44,22530000,7804000,NaN,505300,7098000,5245000,1812000,40918.74
2016-10-30,1.43,21010000,7100000,6852000,453100,6604000,4655000,1883000,66283.51
2016-10-23,1.34,24750000,7580000,8105000,452400,8617000,6509000,2017000,91798.83
2016-10-16,1.3,27710000,8811000,NaN,447300,9594000,6934000,2575000,84553.37
2016-10-09,1.27,28860000,9553000,9579000,491000,9235000,6849000,2316000,69278.75
2016-10-02,1.23,29620000,9535000,9124000,490100,10470000,7409000,2981000,76030.52
2016-09-25,1.22,30310000,10550000,9256000,492600,10010000,7440000,2476000,91688.30
2016-09-18,1.15,31350000,11340000,9481000,486200,10040000,7650000,2311000,79996.50
2016-09-11,1.08,34130000,12960000,NaN,512200,10270000,8200000,2016000,55304.06
2016-09-04,1.04,37130000,14640000,11080000,NaN,10860000,8555000,2214000,93326.07
2016-08-28,1.09,33990000,12560000,10420000,563700,10450000,8504000,1785000,159271.47
2016-08-21,1.1,33590000,12730000,9906000,609700,10350000,8749000,1446000,155008.66
2016-08-14,1.12,34390000,12350000,NaN,749200,10400000,8480000,1813000,111938.56
2016-08-07,1.15,33820000,12200000,10730000,754500,10140000,8386000,1570000,181048.76
2016-07-31,1.23,31200000,10170000,10420000,783900,9825000,8193000,1432000,199967.39
2016-07-24,1.2,32340000,10330000,10800000,948000,10260000,8316000,1561000,387400.22
2016-07-17,1.15,32660000,10320000,10630000,953600,10750000,8738000,1625000,390478.73
2016-07-10,1.1,35570000,11460000,11680000,1266000,11170000,8985000,1728000,454343.65
2016-07-03,1.06,39990000,12510000,13320000,1761000,12410000,9968000,1888000,551693.65
2016-06-26,1.04,36620000,12190000,12030000,1625000,10770000,8835000,1610000,328589.09
2016-06-19,1.02,38490000,13490000,12840000,1643000,10520000,8223000,1975000,317018.94
2016-06-12,1.04,35580000,12290000,11530000,1607000,10150000,8040000,1797000,311439.99
2016-06-05,0.97,40230000,13810000,13400000,1771000,11250000,8493000,2441000,321033.23
2016-05-29,0.94,40020000,13680000,13830000,NaN,10920000,8086000,2658000,180120.85
2016-05-22,0.93,36960000,11710000,12980000,1641000,10620000,7836000,2563000,224991.99
2016-05-15,0.89,39910000,12450000,14440000,NaN,11280000,7987000,3143000,146047.01
2016-05-08,0.82,46320000,14220000,17900000,1994000,12210000,8748000,3343000,120650.09
2016-05-01,0.84,42870000,13750000,15900000,1414000,11800000,8376000,3366000,62734.87
2016-04-24,0.87,39610000,12910000,14380000,1600000,10710000,7836000,2801000,75010.64
2016-04-17,0.9,37470000,NaN,12900000,1896000,10720000,8129000,2467000,125169.40
2016-04-10,0.9,36580000,12880000,NaN,1666000,10500000,7809000,2613000,77737.02
2016-04-03,0.94,33670000,11320000,11510000,1732000,9103000,6830000,2213000,59188.81
2016-03-27,0.94,35930000,11250000,12750000,1880000,10060000,7745000,2228000,82386.14
2016-03-20,0.93,36340000,NaN,13730000,1773000,9701000,7249000,2374000,77638.79
2016-03-13,0.93,36370000,11660000,13100000,1800000,9808000,7231000,2521000,55589.00
2016-03-06,0.95,35060000,11820000,12200000,1686000,9357000,7503000,1748000,106815.12
2016-02-28,0.91,36800000,11910000,13210000,1560000,10120000,7252000,2802000,69494.92
2016-02-21,0.94,32800000,NaN,12000000,1375000,9410000,7213000,2151000,45654.02
2016-02-14,0.88,36480000,11910000,13190000,1811000,9564000,7102000,2387000,74421.62
2016-02-07,0.76,52290000,16570000,20470000,2546000,12700000,9083000,3373000,241661.48
2016-01-31,0.93,34720000,11100000,13280000,1644000,8701000,6685000,1824000,192999.80
2016-01-24,0.95,32790000,7020000,14050000,1440000,10270000,7438000,2668000,165014.74
2016-01-17,0.94,34430000,10040000,13830000,1419000,9138000,6846000,2228000,63337.40
2016-01-10,0.93,35260000,NaN,13230000,1283000,9314000,6735000,2528000,50874.09
2016-01-03,0.86,38140000,NaN,16050000,1560000,8911000,6465000,2287000,159083.80
[3]:,,,,,,,,,
