cust_id,acct_amount,acct_cur,inv_amount,account_opened,last_transaction
8C35540A,44244.71,dollar,35500.5,03/05/2018,30/09/2019
D5536652,86506.85,dollar,81921.86,21/01/2018,14/01/2019
A631984D,77799.33,dollar,46412.27,"January 26, 2018",06/10/2019
93F2F951,93875.24,euro,76563.35,21/08/2017,10/07/2019
DE0A0882,99998.35,euro,18669.01,05/06/2017,15/01/2019
25E68E1B,109737.62,dollar,93552.69,26/12/2017,12/11/2018
3FA9296D,79744.23,dollar,70357.7,21/06/2018,24/08/2018
984403B9,17939.88,euro,14429.59,07/10/2017,18/05/2018
870A9281,63523.31,dollar,51297.32,02/09/2018,22/02/2019
166B05B0,38175.46,euro,15052.7,28/02/2019,31/10/2018
0A9BA907,90469.53,dollar,70173.49,15/06/2018,28/08/2018
2AB6539A,53796.13,dollar,12401.32,03/01/2019,17/11/2018
F389832C,95380.06,dollar,58388.14,03/02/2018,23/09/2018
9A9BB390,83653.09,euro,44656.36,15/08/2018,18/01/2019
E7389E60,86028.48,dollar,48086.69,04/06/2017,07/08/2018
CA507BA1,12209.84,dollar,7516.33,26/05/2018,11/09/2019
472341F2,83127.65,euro,67961.74,14/12/2018,22/04/2018
D3287768,89961.77,euro,84216.09,03/09/2018,19/10/2018
FA01676F,66947.3,dollar,52551.65,10/08/2018,23/07/2019
A69FA1B8,75207.99,euro,31620.86,23/02/2019,09/09/2019
9B550FD5,32891.31,dollar,11993.35,02/05/2018,27/06/2019
B99CD662,92838.44,dollar,49090.83,04/05/2017,12/03/2019
7A73F334,120512,euro,93233,14/05/2018,19/07/2018
B40E8497,99771.9,euro,86992.74,16/05/2017,05/01/2020
1B55AA1C,71782.2,euro,35476.83,29/01/2019,22/11/2019
68C55974,95038.14,dollar,66797.81,03/04/2018,25/09/2018
EC189A55,83343.18,dollar,7282.91,04/02/2019,31/12/2018
3C5CBBD7,59678.01,euro,35939.08,03/01/2019,02/10/2018
F7FC8F78,88049.82,dollar,84432.03,28/02/2018,30/04/2018
ACE5C956,90413.25,dollar,21574.21,29/12/2018,30/04/2019
2EC1B555,55976.78,dollar,51478.91,05/12/2017,21/10/2019
B6F69B7A,92007.12,dollar,22053.26,29/07/2018,10/02/2020
5321D380,59700.08,dollar,8145.24,09/10/2018,04/02/2019
C55C54A8,79630.02,dollar,25250.82,30/10/2018,19/02/2019
AC2AEAC4,88440.54,dollar,63332.9,12/03/2018,01/08/2019
904A19DD,31981.36,dollar,13189.63,28/01/2019,23/06/2019
A731C34E,95352.02,dollar,84066.66,13/11/2017,13/01/2019
96525DA6,82511.24,euro,33929.23,23/07/2018,07/08/2018
BD7CF5D7,82084.76,euro,44340.56,18/07/2017,26/02/2020
0109137B,31730.19,dollar,21959.28,20/04/2018,08/07/2019
93E78DA3,41942.23,dollar,29663.88,09/10/2017,15/04/2018
72DD1471,100683.48,dollar,87882.91,22/01/2018,17/05/2018
EC7C25A8,86503.33,dollar,49180.36,08/06/2017,02/04/2018
38B8CD9C,28834.71,dollar,27532.35,17/09/2018,05/02/2020
80C0DAB3,73951.45,euro,61650.12,03/04/2017,21/09/2019
DEC6DBE4,32220.83,dollar,3216.72,09/08/2018,17/11/2019
3B240FEF,97856.46,dollar,64839.79,23/05/2018,11/10/2018
82E87321,97833.54,dollar,61481.86,18/10/2018,21/07/2018
1903EB99,24267.02,euro,22963.63,17/03/2017,21/11/2018
2F4F99C1,82058.48,dollar,35760.69,30/12/2018,11/08/2018
46351200,97595.3,dollar,82251.59,18/08/2018,20/02/2020
7D8EBAF6,109943.03,euro,81490.13,02/07/2017,22/02/2020
E2EFF324,67297.46,euro,57252.76,27/04/2018,10/07/2018
A1815565,82996.04,euro,30898.16,07/11/2017,30/09/2019
6B094617,89855.98,euro,34551.43,06/02/2018,14/02/2019
C580AE41,96673.37,dollar,68468.28,28/09/2018,17/09/2018
B25B3B8D,99193.98,dollar,83364.21,28/04/2018,04/07/2019
0F0884F6,84505.81,dollar,47826.51,08/03/2018,24/08/2019
58F8CC80,87146.19,dollar,25759.85,18/10/2018,10/01/2019
56D310A8,88660.4,dollar,62307.9,25/02/2018,29/07/2018
4A13E345,84107.71,dollar,4217.92,17/09/2018,09/02/2019
5AEA5AB8,100266.99,dollar,89342.43,09/06/2018,03/07/2019
7A4EED75,98923.14,dollar,20932.3,28/11/2017,01/05/2019
19C86773,63182.57,dollar,62692.03,09/05/2018,26/01/2020
87FDF627,95275.46,dollar,55888.87,26/02/2019,25/06/2018
