phone,cuisine_type
3102461501,america
8187621221,merican
2139381447,amurican
2138486677,americen
3102760615,americann
2136651891,asiane
3102741893,itali
3106599639,asiann
3105508811,americann
2136283781,murican
2136272300,italien
3108294313,italian
8185850855,asiat
2125827200,american
2123191660,americano
2123622200,italiann
2129666960,ameerican
2123557555,asianne
2127581479,italiano
2127549494,americin
2126204020,ammericann
2124770777,americann
2122235656,amerycan
2123396719,aamerican
2127546272,italian
2128077400,americann
2126441900,ameerican
7185225200,ameriican
2122655959,italiaan
2129809393,asiian
2123718844,asiaan
2128618080,amerrican
2127531530,ameerrican
2128733200,ammereican
2122434020,american
2129219494,american
7027338899,asian
4042618186,italian
4042372663,american
4042623336,american
4046812909,american
4043523517,american
4048764408,asian
4042311368,italian
4048758424,italian
4155436084,american
4159555555,american
4157779779,american
4156686654,asian
4159220337,asian
4157767825,american
4152967465,american
4153990499,italiaan
2127538450,italian
2125814242,italianne
3104759807,italiian
3107775877,american
3104510616,american
2139382863,italian
8189854669,italian
2136512030,american
2134671052,asian
3108281585,italiaan
3106591952,american
3103923901,american
3104543474,american
3102767605,american
3102772333,italian
3105508330,itallian
3102761886,asian
3102890660,asian
2136670777,italian
2136286717,asian
3102765205,american
3102740101,american
2134850927,american
3103945669,american
2134836000,american
8187619126,american
8187844400,italian
3102777346,italian
3102747427,american
3103936545,italian
2136809355,asian
2134669329,american
2136535858,american
2136586340,italian
3108590926,asian
2139375733,asian
3104560169,italian
3102766345,asian
2136604446,american
3108235396,american
2129640380,asian
2129891220,american
2124738388,american
2126278899,american
2127025014,american
2126842122,american
2123080112,italian
2128380440,american
2126773820,italian
2123850313,asian
2122469171,italian
2125818888,american
2127531870,american
2122498484,asian
2127272775,american
2126884190,italian
2128406500,american
2122541200,american
2126918136,italian
2123439012,asian
2123712323,asian
2123337788,american
2127940205,italian
2123431212,italian
2129419024,italian
2127325555,american
2129961212,american
2127251333,asian
2124961588,american
2127443266,asian
2122264621,italian
2127585757,american
2122622525,american
2125955330,italian
2125953139,american
2126743823,american
2126918888,american
2126916359,italian
2122690144,american
2125647272,italian
2127691144,asian
2122455336,american
2127523054,italian
2124778427,american
2129410911,asian
2127775922,italian
2124688888,american
2124896565,american
2122493600,american
2122439579,american
2127861500,american
2124817372,italian
2122266060,italian
2125055111,asian
2128695544,asian
2126825678,asian
2125816464,american
2125825252,american
2126747014,italian
2123150980,italian
2127520808,asian
2127278022,italian
2128690900,american
2128751993,american
2127218271,american
2126756700,american
2128735025,american
2129563976,italian
2128886556,american
2127776314,asian
2129069173,american
2128384343,american
2126795535,asian
2128382600,american
2124214433,asian
2129723315,american
2125818030,american
2129478482,asian
2123490923,asian
2122330507,american
2124897212,italian
2129443643,italian
2122237575,asian
2129414168,asian
2122454850,italian
2122882391,italian
2126828660,american
2122748883,asian
2123337827,american
2125958555,american
2129352888,american
2125010776,asian
2126277172,asian
2122459600,american
2129253120,italian
2129829030,italian
2127539015,italian
2124966280,american
2128383531,american
2127444107,american
2128733700,american
2129778400,asian
2127342676,italian
2129660290,american
2123348088,asian
2129566888,asian
2123973737,american
2124961066,american
2122459800,italian
2124724488,italian
2129413900,american
2126885447,asian
2127990400,american
2122605454,american
2127210068,american
2124869592,american
2126833333,american
2122466363,american
2129666722,american
4042649546,asian
4042627379,american
4042623165,american
4042332333,italian
7704410291,american
4048727203,italian
4046592788,asian
4048410314,asian
7703959925,italian
7704510192,asian
7703931333,italian
4048743223,american
4042372941,italian
4048757775,american
4043255285,asian
7704490033,asian
4043211118,american
7022527737,italian
7028713262,asian
7027321424,italian
7027354663,italian
7024327777,american
7027358686,american
7027315311,italian
7023862512,american
7027317888,asian
7023857111,asian
7027371234,asian
7027917111,asian
7028764190,italian
4154310692,american
4155675432,italian
4159298855,asian
4154336300,american
4157767766,italian
4154744180,italian
4159892589,italian
4158633516,american
4152968555,american
4159822000,american
4157718822,asian
4152920101,american
4157818833,asian
4158821333,american
4156688998,asian
4157528833,asian
4154417778,italian
4159860100,italian
4157525652,asian
4153977720,italian
4155465000,asian
4159821124,italian
4156684848,asian
4153985700,american
4158616224,asian
4159311556,asian
4157775577,american
4153461333,italian
4153959800,italian
4153462111,italian
4159229022,american
4154344100,american
4154212300,american
4153463486,asian
4153958555,italian
4158617827,american
4158614344,american
4156681783,asian
4158639335,asian
4157524440,asian
4153464430,italian
4156739245,italian
4155639727,american
4159579300,asian
4155414949,asianne
