year,month,day,day_type
2019,1,1,Sunday/Holiday
2019,1,2,Weekday
2019,1,3,Weekday
2019,1,4,Weekday
2019,1,5,Saturday
2019,1,6,Sunday/Holiday
2019,1,7,Weekday
2019,1,8,Weekday
2019,1,9,Weekday
2019,1,10,Weekday
2019,1,11,Weekday
2019,1,12,Saturday
2019,1,13,Sunday/Holiday
2019,1,14,Weekday
2019,1,15,Weekday
2019,1,16,Weekday
2019,1,17,Weekday
2019,1,18,Weekday
2019,1,19,Saturday
2019,1,20,Sunday/Holiday
2019,1,21,Weekday
2019,1,22,Weekday
2019,1,23,Weekday
2019,1,24,Weekday
2019,1,25,Weekday
2019,1,26,Saturday
2019,1,27,Sunday/Holiday
2019,1,28,Weekday
2019,1,29,Weekday
2019,1,30,Weekday
2019,1,31,Weekday
2019,2,1,Weekday
2019,2,2,Saturday
2019,2,3,Sunday/Holiday
2019,2,4,Weekday
2019,2,5,Weekday
2019,2,6,Weekday
2019,2,7,Weekday
2019,2,8,Weekday
2019,2,9,Saturday
2019,2,10,Sunday/Holiday
2019,2,11,Weekday
2019,2,12,Weekday
2019,2,13,Weekday
2019,2,14,Weekday
2019,2,15,Weekday
2019,2,16,Saturday
2019,2,17,Sunday/Holiday
2019,2,18,Weekday
2019,2,19,Weekday
2019,2,20,Weekday
2019,2,21,Weekday
2019,2,22,Weekday
2019,2,23,Saturday
2019,2,24,Sunday/Holiday
2019,2,25,Weekday
2019,2,26,Weekday
2019,2,27,Weekday
2019,2,28,Weekday
2019,3,1,Weekday
2019,3,2,Saturday
2019,3,3,Sunday/Holiday
2019,3,4,Weekday
2019,3,5,Weekday
2019,3,6,Weekday
2019,3,7,Weekday
2019,3,8,Weekday
2019,3,9,Saturday
2019,3,10,Sunday/Holiday
2019,3,11,Weekday
2019,3,12,Weekday
2019,3,13,Weekday
2019,3,14,Weekday
2019,3,15,Weekday
2019,3,16,Saturday
2019,3,17,Sunday/Holiday
2019,3,18,Weekday
2019,3,19,Weekday
2019,3,20,Weekday
2019,3,21,Weekday
2019,3,22,Weekday
2019,3,23,Saturday
2019,3,24,Sunday/Holiday
2019,3,25,Weekday
2019,3,26,Weekday
2019,3,27,Weekday
2019,3,28,Weekday
2019,3,29,Weekday
2019,3,30,Saturday
2019,3,31,Sunday/Holiday
2019,4,1,Weekday
2019,4,2,Weekday
2019,4,3,Weekday
