id,budget,revenue
19995,237000000,2787965000
285,300000000,961000000
206647,245000000,880674600
49026,250000000,1084939000
49529,260000000,284139100
559,258000000,890871600
38757,260000000,591794900
99861,280000000,1405404000
767,250000000,933959200
209112,250000000,873260200
1452,270000000,391081200
10764,200000000,586090700
58,200000000,1065660000
57201,255000000,89289910
49521,225000000,662845500
2454,225000000,419651400
24428,220000000,1519558000
1865,380000000,1045714000
41154,225000000,624026800
122917,250000000,956019800
1930,215000000,752215900
20662,200000000,310669500
57158,250000000,958400000
2268,180000000,372234900
254,207000000,550000000
597,200000000,1845034000
271110,250000000,1153304000
44833,209000000,303025500
135397,150000000,1513529000
37724,200000000,1108561000
558,200000000,783766300
68721,200000000,1215440000
12155,200000000,1025491000
36668,210000000,459359600
62211,200000000,743559600
8373,150000000,836297200
91314,210000000,1091405000
68728,200000000,491868500
102382,200000000,705717400
20526,170000000,400062800
49013,200000000,559852400
44912,200000000,219851200
10193,200000000,1066970000
534,200000000,371353000
168259,190000000,1506249000
72190,200000000,531865000
127585,250000000,747862800
54138,190000000,467365200
81005,195000000,197687600
64682,105000000,351040400
9543,150000000,335154600
68726,180000000,407602900
38356,195000000,1123747000
217,185000000,786636000
105864,175000000,331926100
62177,185000000,538983200
188927,185000000,343471800
10681,180000000,521311900
5174,140000000,258022200
14161,200000000,769653600
17979,200000000,325233900
76757,176000003,183987700
258489,180000000,356743100
411,180000000,748807000
246655,178000000,543934800
155,185000000,1004558000
14160,175000000,735099100
15512,175000000,381509900
1726,140000000,585174200
44826,170000000,185770200
8487,170000000,222104700
1735,145000000,401128600
297761,175000000,745000000
2698,175000000,173000000
137113,178000000,370541300
9804,175000000,264218200
14869,175000000,302469000
150540,175000000,857611200
278927,175000000,966550600
10138,200000000,623933300
58595,170000000,396600000
102651,180000000,758539800
119450,170000000,710644600
64686,175000000,150962500
100402,170000000,714766600
10192,165000000,752600900
158852,190000000,209154300
177572,165000000,652105400
82690,165000000,471222900
5255,165000000,305875700
47933,165000000,389681900
10191,165000000,494878800
296,200000000,435000000
118340,170000000,773328600
157336,165000000,675120000
27205,160000000,825532800
315011,15000000,77000000
49051,250000000,1021104000
9799,38000000,207283900
4922,150000000,333932100
49538,160000000,353624100
131634,160000000,653428300
27022,150000000,215283700
503,160000000,181674800
241259,170000000,299370100
810,160000000,798958200
68735,160000000,433677200
87101,155000000,440603500
10140,155000000,415686200
676,140000000,449220900
1858,150000000,709709800
1966,155000000,167298200
675,150000000,938212700
674,150000000,895921000
8960,150000000,624029400
6479,150000000,585349000
118,150000000,474968800
2062,150000000,623722800
272,150000000,374218700
10527,150000000,603900400
18360,150000000,413106200
2080,150000000,373062900
605,150000000,424988200
109445,150000000,1274219000
604,150000000,738599700
76338,170000000,644571400
76341,150000000,378858300
13448,150000000,356613400
10195,150000000,449326600
13053,150000000,309980000
19585,150000000,292817800
57165,150000000,301000000
62213,150000000,245527100
177677,150000000,682330100
5559,150000000,287594600
49444,150000000,665692300
10196,150000000,318502900
956,150000000,397850000
117251,150000000,205366700
50321,150000000,38992760
11619,149000000,64459320
266647,150000000,128388300
82703,145000000,272912400
652,175000000,497409900
80321,145000000,746921300
36669,140000000,431971100
43074,144000000,229147500
95,140000000,553799600
608,140000000,441818800
2310,70000000,195735900
140300,145000000,521170800
56292,145000000,694713400
81188,145000000,306941700
7552,100000000,202026100
616,140000000,456759000
