iid,cid,invoice_date,total,bill_ctry
49,30,06/08/2009,1.98,Canada
50,32,06/08/2009,1.98,Canada
51,34,07/08/2009,3.96,Portugal
52,38,08/08/2009,5.94,Germany
53,44,11/08/2009,8.91,Finland
54,53,16/08/2009,13.86,UK
55,8,24/08/2009,0.99,Belgium
133,14,13/08/2010,1.98,Canada
134,16,13/08/2010,1.98,USA
135,18,14/08/2010,3.96,USA
136,22,15/08/2010,5.94,USA
137,28,18/08/2010,8.91,USA
138,37,23/08/2010,13.86,Germany
139,51,31/08/2010,0.99,Sweden
216,56,07/08/2011,0.99,Argentina
217,57,20/08/2011,1.98,Chile
218,59,20/08/2011,1.98,India
219,2,21/08/2011,3.96,Germany
220,6,22/08/2011,5.94,Czech Republic
221,12,25/08/2011,8.91,Brazil
222,21,30/08/2011,13.86,USA
299,26,05/08/2012,23.86,USA
300,40,13/08/2012,0.99,France
301,41,26/08/2012,1.98,France
302,43,26/08/2012,1.98,France
303,45,27/08/2012,3.96,Hungary
304,49,28/08/2012,5.94,Poland
305,55,31/08/2012,8.91,Australia
378,46,02/08/2013,1.98,Ireland
379,48,02/08/2013,1.98,Netherlands
380,50,03/08/2013,3.96,Spain
381,54,04/08/2013,5.94,UK
382,1,07/08/2013,8.91,Brazil
383,10,12/08/2013,13.86,Brazil
384,24,20/08/2013,0.99,USA
