iid,cid,invoice_date,total,bill_ctry
56,9,06/09/2009,1.98,Denmark
57,11,06/09/2009,1.98,Brazil
58,13,07/09/2009,3.96,Brazil
59,17,08/09/2009,5.94,USA
60,23,11/09/2009,8.91,USA
61,32,16/09/2009,13.86,Canada
62,46,24/09/2009,0.99,Ireland
140,52,13/09/2010,1.98,UK
141,54,13/09/2010,1.98,UK
142,56,14/09/2010,3.96,Argentina
143,1,15/09/2010,5.94,Brazil
144,7,18/09/2010,8.91,Austria
145,16,23/09/2010,13.86,USA
223,35,07/09/2011,0.99,Portugal
224,36,20/09/2011,1.98,Germany
225,38,20/09/2011,1.98,Germany
226,40,21/09/2011,3.96,France
227,44,22/09/2011,5.94,Finland
228,50,25/09/2011,8.91,Spain
229,59,30/09/2011,13.86,India
306,5,05/09/2012,16.86,Czech Republic
307,19,13/09/2012,1.99,USA
308,20,26/09/2012,3.98,USA
309,22,26/09/2012,3.98,USA
310,24,27/09/2012,7.96,USA
311,28,28/09/2012,11.94,USA
385,25,02/09/2013,1.98,USA
386,27,02/09/2013,1.98,USA
387,29,03/09/2013,3.96,Canada
388,33,04/09/2013,5.94,Canada
389,39,07/09/2013,8.91,France
390,48,12/09/2013,13.86,Netherlands
391,3,20/09/2013,0.99,Canada
