account,ward,aid,business,address,zip
307071,3,743,REGGIE'S BAR & GRILL,2105 S STATE ST,60616
10,10,829,HONEYBEERS,13200 S HOUSTON AVE,60633
10002,14,775,CELINA DELI,5089 S ARCHER AVE,60632
10005,12,NaN,KRAFT FOODS NORTH AMERICA,2005 W 43RD ST,60609
10044,44,638,NEYBOUR'S TAVERN & GRILLE,3651 N SOUTHPORT AVE,60613
10046,12,774,SUPERMERCADO EL GUERO #10 INC,4023 S ARCHER AVE 1ST,60632
10062,42,NaN,"LEVEL 3 COMMUNICATIONS, LLC",662 N HUDSON AVE,60610
10077,42,NaN,MITSUI & CO (U.S.A.)INC,200 E RANDOLPH ST 52ND,60601
10099,27,NaN,MEDIA PROCESS GROUP,1327 W WASHINGTON BLVD  103,60607
10128,10,864,RESERVE MARINE TERMINALS,12800 S BUTLER DR,60633
10140,42,NaN,LACEY-CHAMPION INC,222 W MERCHANDISE MART PLZ  6-164,60654
10141,25,638,PEREZ RESTAURANT,1163 W 18TH ST,60608
10145,35,763,DONA MARIS,3757-3759 W FULLERTON AVE,60647
10200,31,763,CENTRAL & DIVERSEY AMOCO,5610 W DIVERSEY AVE,60639
10212,42,775,JAY'S,933 -935 N STATE ST,60610
10213,2,NaN,HOG HEAD MCDUNNA'S,1503-1507 W FULLERTON AVE 1ST,60614
10215,36,916,DI DI RAMINOV SHOW INC,6218 W BELMONT AVE,60634
10221,35,775,TAQUERIA SIGLO XX,3626 W LAWRENCE AVE,60625
10232,23,782,PIZZA HUT 317249,5905 S ARCHER AVE 1ST,60638
10234,45,775,MICHELLA TERRACE,5215-5219 W IRVING PARK RD,60641
10235,48,775,THAI BINH CORP,1113  -01115 W ARGYLE ST  1,60640
10246,11,775,DIM SUM HOUSE,2608 S WENTWORTH AVE,60616
10248,4,775,Subway,5040 S COTTAGE GROVE AVE,60615
10293,44,NaN,FIRST MANAGEMENT,3631 N SHEFFIELD AVE,60613
10309,4,775,BASKIN ROBBINS,1400 E 53RD ST  1ST,60615
10316,19,784,LA FIESTA RESTAURANT,3333 W 111TH ST 1ST,60655
10331,47,775,ALLEY DOGS INC,3700 N WESTERN AVE,60618
10367,14,864,F & F FOODS INC,3501 W 48TH PL,60632
10373,27,NaN,ESSANNAY SHOW IT INC,851 W GRAND AVE 1 & 2,60642
10393,44,829,BERNIE'S,3664 N CLARK ST 1 AND 2,60613
10509,11,638,NAP'S BOWL,522 W 26TH ST,60616
10513,44,638,CHILI MAC'S 5-WAY CHILI,3152 N BROADWAY,60657
10548,39,NaN,CORPORATE CLAIMS SYSTEMS INC,5247 N ELSTON AVE,60630
10597,44,743,THE STEAMWORKS,3246 N HALSTED ST,60657
106,2,638,ZAVEN INC,260 E CHESTNUT ST 1ST,60611
10612,32,775,MENARD'S,2601 N CLYBOURN AVE  2,60614
10627,26,NaN,OSCEOLA FENCE CORPORATION,3939 W DICKENS AVE,60647
10690,24,763,TRUDY'S FAMILY GROCERY,1428 S KEDZIE AVE,60623
10701,34,NaN,MURPHY MARBLE CO,820 W 118TH ST # 1ST,60643
10734,42,NaN,ORDER FROM HORDER,1 S WACKER DR 1ST,60606
10767,2,NaN,CAHG,211 E CHICAGO AVE  1600,60611
10773,47,775,THE NORTHMAN,4337 N LINCOLN AVE,60618
10775,32,775,CLUB LUCKY,1822-1824 W WABANSIA AVE,60622
10815,5,NaN,57 ST BOOKS,1301 E 57TH ST 1ST,60637
10837,33,763,QUICK SHOP,2901 W IRVING PARK RD 1ST,60618
10850,25,638,WISHBONE RESTAURANT,1001 W WASHINGTON BLVD,60607
10855,36,775,PLUM CATERING INC,6425 W GRAND AVE  1ST,60707
10858,42,763,PARKSHORE MARKET LTD,195 N HARBOR DR,60601
10859,47,NaN,20TH CENTURY TV & STEREO CTR,1611-1615 W MONTROSE AVE,60613
10865,42,NaN,GRUBB & ELLIS COMPANY,225 W WACKER DR  2300,60606
10952,42,NaN,"KEMPER CORPORATE SERVICES, INC.",1 E WACKER DR 8,60601
10953,47,724,F G PRODUCTS INC,2112 W GRACE ST,60618
11018,25,NaN,THYSSENKRUPP ELEVATOR CORPORATION,940 W ADAMS ST 4 404,60607
11019,23,NaN,PROGRESS ELECTRIC CO,5722 S CENTRAL AVE,60638
11031,42,708,TURNER CONSTRUCTION COMPANY,55 E MONROE ST,60603
11069,10,775,LOPEZ'S LIQUORS,9700 S COMMERCIAL AVE 1ST,60617
11071,47,775,FAMILY DOLLAR STORE #7149,2424 W MONTROSE AVE,60618
11112,36,775,LAXI LIQUOR,6922 W GRAND AVE 1ST,60707
11120,48,916,ATMOSPHERE,5355 N CLARK ST 1ST,60640
11121,16,NaN,ABOUD FOOD & LIQUOR,6023 S HALSTED ST,60621
11123,34,775,STOP & GO FOOD MART,1622 W MONTEREY AVE,60643
11139,45,743,GOLDEN FLAME,6417 W HIGGINS AVE  CRSTL,60656
11180,42,775,FAST TRACK LTD,629 W LAKE ST,60661
11181,12,763,SAN PEDRO FRUTERIA,2258 S CALIFORNIA AVE,60608
11191,42,775,GATEWAY CIGAR & PERK,311 S WACKER DR 1ST,60606
11195,49,775,POPEYES CHICKEN,1959 W HOWARD ST,60626
11197,44,NaN,P S I MARKETING CONSULTANTS,999 1/2 W WOLFRAM ST,60657
11198,7,763,JAIME'S AMOCO,10300 S TORRENCE AVE  1ST,60617
11209,27,NaN,REVERE ELECTRIC SUPPLY COMPANY,2501 W WASHINGTON BLVD,60612
11217,33,775,J & A LIQUORS INC,3213 W LAWRENCE AVE,60625
11240,12,763,LA FLOR DEL BARRIO PRODUCT,3801 S KEDZIE AVE  1,60632
11253,42,NaN,RICHARDS & TIERNEY INC,111 W JACKSON BLVD,60604
11270,43,638,KYOTO JAPANESE RESTAURANT,2534 N LINCOLN AVE,60614
11280,3,763,PRIME WAY,2251 S STATE ST 1ST,60616
11281,44,743,SOUTHPORT LANES INC,3325 N SOUTHPORT AVE 1ST,60657
11302,44,784,DS Fajita Factory,3445 N HALSTED ST,60657
11307,47,775,ERICK'S TACO,1967 W LAWRENCE AVE,60640
11309,4,763,BP,50 W CONGRESS PKWY,60605
11319,42,775,SUBWAY SANDWICHES,500 W MADISON ST,60661
11322,31,NaN,CHARLES E LARSON & SONS INC,2645-2665 N KEELER AVE,60639
11337,4,775,C'EST SI BON LTD,5225 S HARPER AVE 2,60615
11350,42,NaN,COMPETIVE PIPING SYSTEMS INC,141 W JACKSON BLVD # A-30,60604
11354,43,NaN,BRANCA INC .,5 E GOETHE ST,60610
