station_id,station_name,location
40010,Austin-Forest Park,"(41.870851, -87.776812)"
40020,Harlem-Lake,"(41.886848, -87.803176)"
40030,Pulaski-Lake,"(41.885412, -87.725404)"
40040,Quincy/Wells,"(41.878723, -87.63374)"
40050,Davis,"(42.04771, -87.683543)"
40060,Belmont-O'Hare,"(41.938132, -87.712359)"
40070,Jackson/Dearborn,"(41.878183, -87.629296)"
40080,Sheridan,"(41.953775, -87.654929)"
40090,Damen-Brown,"(41.966286, -87.678639)"
40100,Morse,"(42.008362, -87.665909)"
40120,35th/Archer,"(41.829353, -87.680622)"
40130,51st,"(41.80209, -87.618487)"
40140,Dempster-Skokie,"(42.038951, -87.751919)"
40150,Pulaski-Cermak,"(41.853732, -87.724311)"
40160,LaSalle/Van Buren,"(41.8768, -87.631739)"
40170,Ashland-Lake,"(41.885269, -87.666969)"
40180,Oak Park-Forest Park,"(41.872108, -87.791602)"
40190,Sox-35th-Dan Ryan,"(41.831191, -87.630636)"
40200,Randolph/Wabash,"(41.885480, -87.628130)"
40210,Damen-Cermak,"(41.854517, -87.675975)"
40220,Western-Forest Park,"(41.875478, -87.688436)"
40230,Cumberland,"(41.984246, -87.838028)"
40240,79th,"(41.750419, -87.625112)"
40250,Kedzie-Homan-Forest Park,"(41.874341, -87.70604)"
40260,State/Lake,"(41.88574, -87.627835)"
40270,Main,"(42.033456, -87.679538)"
40280,Central-Lake,"(41.887389, -87.76565)"
40290,Ashland/63rd,"(41.77886, -87.663766)"
40300,Indiana,"(41.821732, -87.621371)"
40310,Western-Orange,"(41.804546, -87.684019)"
40320,Division/Milwaukee,"(41.903355, -87.666496)"
40330,Grand/State,"(41.891665, -87.628021)"
40340,Berwyn,"(41.977984, -87.658668)"
40350,UIC-Halsted,"(41.875474, -87.649707)"
40360,Southport,"(41.943744, -87.663619)"
40370,Washington/Dearborn,"(41.883164, -87.62944)"
40380,Clark/Lake,"(41.885737, -87.630886)"
40390,Forest Park,"(41.874257, -87.817318)"
40400,Noyes,"(42.058282, -87.683337)"
40420,Cicero-Cermak,"(41.85182, -87.745336)"
40430,Clinton-Forest Park,"(41.875539, -87.640984)"
40440,California-Cermak,"(41.854109, -87.694774)"
40450,95th/Dan Ryan,"(41.722377, -87.624342)"
40460,Merchandise Mart,"(41.888969, -87.633924)"
40470,Racine,"(41.87592, -87.659458)"
40480,Cicero-Lake,"(41.886519, -87.744698)"
40490,Grand/Milwaukee,"(41.891189, -87.647578)"
40510,Garfield-South Elevated,"(41.795172, -87.618327)"
40520,Foster,"(42.05416, -87.68356)"
40530,Diversey,"(41.932732, -87.653131)"
40540,Wilson,"(41.964273, -87.657588)"
40550,Irving Park-O'Hare,"(41.952925, -87.729229)"
40560,Jackson/State,"(41.878153, -87.627596)"
40570,California/Milwaukee,"(41.921939, -87.69689)"
40600,Kostner,"(41.853751, -87.733258)"
40580,54th/Cermak,"(41.85177331, -87.75669201)"
40590,Damen/Milwaukee,"(41.909744, -87.677437)"
40610,Ridgeland,"(41.887159, -87.783661)"
40630,Clark/Division,"(41.90392, -87.631412)"
40650,North/Clybourn,"(41.910655, -87.649177)"
40660,Armitage,"(41.918217, -87.652644)"
40670,Western/Milwaukee,"(41.916157, -87.687364)"
40680,Adams/Wabash,"(41.879507, -87.626037)"
40690,Dempster,"(42.041655, -87.681602)"
40700,Laramie,"(41.887163, -87.754986)"
40710,Chicago/Franklin,"(41.89681, -87.635924)"
40720,East 63rd-Cottage Grove,"(41.780309, -87.605857)"
40730,Washington/Wells,"(41.882695, -87.63378)"
40740,Western-Cermak,"(41.854225, -87.685129)"
40750,Harlem-O'Hare,"(41.98227, -87.8089)"
40760,Granville,"(41.993664, -87.659202)"
40770,Lawrence,"(41.969139, -87.658493)"
40780,Central Park,"(41.853839, -87.714842)"
40790,Monroe/Dearborn,"(41.880703, -87.629378)"
40800,Sedgwick,"(41.910409, -87.639302)"
40810,Medical Center,"(41.875706, -87.673932)"
40820,Rosemont,"(41.983507, -87.859388)"
40830,18th,"(41.857908, -87.669147)"
40840,South Boulevard,"(42.027612, -87.678329)"
40850,Library,"(41.876862, -87.628196)"
40870,Francisco,"(41.966046, -87.701644)"
40880,Thorndale,"(41.990259, -87.659076)"
40890,O'Hare Airport,"(41.97766526, -87.90422307)"
40900,Howard,"(42.019063, -87.672892)"
40910,63rd-Dan Ryan,"(41.780536, -87.630952)"
40920,Pulaski-Forest Park,"(41.873797, -87.725663)"
40930,Midway Airport,"(41.78661, -87.737875)"
40940,Halsted/63rd,"(41.778943, -87.644244)"
40960,Pulaski-Orange,"(41.799756, -87.724493)"
40970,Cicero-Forest Park,"(41.871574, -87.745154)"
40980,Harlem-Forest Park,"(41.87349, -87.806961)"
40990,69th,"(41.768367, -87.625724)"
41000,Cermak-Chinatown,"(41.853206, -87.630968)"
41010,Rockwell,"(41.966115, -87.6941)"
41020,Logan Square,"(41.929728, -87.708541)"
41030,Polk,"(41.871551, -87.66953)"
41040,Kedzie-Cermak,"(41.853964, -87.705408)"
41050,Linden,"(42.073153, -87.69073)"
41060,Ashland-Orange,"(41.839234, -87.665317)"
41070,Kedzie-Lake,"(41.884321, -87.706155)"
41080,47th-South Elevated,"(41.809209, -87.618826)"
41090,Monroe/State,"(41.880745, -87.627696)"
41120,35-Bronzeville-IIT,"(41.831677, -87.625826)"
41130,Halsted-Orange,"(41.84678, -87.648088)"
41140,King Drive,"(41.78013, -87.615546)"
41150,Kedzie-Midway,"(41.804236, -87.704406)"
41160,Clinton-Lake,"(41.885678, -87.641782)"
41170,Garfield-Dan Ryan,"(41.79542, -87.631157)"
41180,Kedzie-Brown,"(41.965996, -87.708821)"
41190,Jarvis,"(42.015876, -87.669092)"
41200,Argyle,"(41.973453, -87.65853)"
41210,Wellington,"(41.936033, -87.653266)"
41220,Fullerton,"(41.925051, -87.652866)"
41230,47th-Dan Ryan,"(41.810318, -87.63094)"
41240,Addison-O'Hare,"(41.94738, -87.71906)"
41250,Central-Evanston,"(42.063987, -87.685617)"
41260,Austin-Lake,"(41.887293, -87.774135)"
41270,43rd,"(41.816462, -87.619021)"
41280,Jefferson Park,"(41.970634, -87.760892)"
41290,Kimball,"(41.967901, -87.713065)"
41300,Loyola,"(42.001073, -87.661061)"
41310,Paulina,"(41.943623, -87.670907)"
41320,Belmont-North Main,"(41.939751, -87.65338)"
41330,Montrose-O'Hare,"(41.961539, -87.743574)"
41340,LaSalle,"(41.875568, -87.631722)"
41350,Oak Park-Lake,"(41.886988, -87.793783)"
41360,California-Lake,"(41.88422, -87.696234)"
41380,Bryn Mawr,"(41.983504, -87.65884)"
41400,Roosevelt,"(41.867405, -87.62659)"
41410,Chicago/Milwaukee,"(41.896075, -87.655214)"
41420,Addison-North Main,"(41.947428, -87.653626)"
41430,87th,"(41.735372, -87.624717)"
41440,Addison-Brown,"(41.947028, -87.674642)"
41450,Chicago/State,"(41.896671, -87.628176)"
41460,Irving Park-Brown,"(41.954521, -87.674868)"
41480,Western-Brown,"(41.966163, -87.688502)"
41490,Harrison,"(41.874039, -87.627479)"
41500,Montrose-Brown,"(41.961756, -87.675047)"
41510,Morgan-Lake,"(41.885586, -87.652193)"
41660,Lake/State,"(41.884809, -87.627813)"
41670,Conservatory,"(41.884904, -87.716523)"
41680,Oakton-Skokie,"(42.02624348, -87.74722084)"
41690,Cermak-McCormick Place,"(41.853115, -87.626402)"
41700,Washington/Wabash,"(41.88322, -87.626189)"
