id,tagline
19995,Enter the World of Pandora.
285,"At the end of the world, the adventure begins."
206647,A Plan No One Escapes
49026,The Legend Ends
49529,"Lost in our world, found in another."
559,The battle within.
38757,They're taking adventure to new lengths.
99861,A New Age Has Come.
767,Dark Secrets Revealed
209112,Justice or revenge
10764,"For love, for hate, for justice, for revenge."
58,Jack is back!
57201,Never Take Off the Mask
49521,You will believe that a man can fly.
2454,Hope has a new face.
1865,Live Forever Or Die Trying.
41154,They are back... in time.
122917,Witness the defining chapter of the Middle-Ear...
1930,The untold story begins.
20662,"Rise and rise again, until lambs become lions."
57158,Beyond darkness... beyond desolation... lies t...
2268,There are worlds beyond our own - the compass ...
254,The eighth wonder of the world.
597,Nothing on Earth could come between them.
271110,Divided We Fall
44833,The Battle for Earth Begins at Sea
135397,The park is open.
37724,Think on your sins.
558,There's a hero in all of us.
68721,Unleash the power behind the armor.
12155,You're invited to a very important date.
36668,Take a Stand
62211,School never looked this scary.
8373,Revenge is coming.
91314,This is not war. It's extinction.
68728,"In Oz, nothing is what it seems"
102382,No more secrets.
20526,The Game Has Changed.
49013,Ka-ciao!
44912,"In our darkest hour, there will be light."
10193,No toy gets left behind.
534,The End Begins.
168259,Vengeance Hits Home
72190,Remember Philly!
127585,"To save the future, they must alter the past"
54138,Earth Will Fall
81005,Prepare for a giant adventure
64682,Reserving judgments is a matter of infinite ho...
9543,Defy the Future
68726,"To Fight Monsters, We Created Monsters"
38356,The invasion we always feared. An enemy we nev...
217,The adventure continues . . .
105864,Little Arms With Big Attitude
62177,Change your fate.
10681,An adventure beyond the ordinar-E.
5174,The Rush Is On!
14161,We Were Warned.
17979,Season's Greedings
76757,Expand your universe.
258489,Human. Nature.
411,Evil Has Reigned For 100 Years...
246655,Only the strong will survive
155,Why So Serious?
15512,"When aliens attack, monsters fight back."
1726,Heroes aren't born. They're built.
44826,One of the most legendary directors of our tim...
8487,It's a whole new west.
1735,A New Evil Awakens.
297761,Worst Heroes Ever
2698,A comedy of biblical proportions
137113,"Live, Die, Repeat"
9804,Beyond the horizon lies the secret to a new be...
14869,"When all else fails, they don't."
150540,Meet the little voices inside your head.
10138,"It's not the armor that makes the hero, but th..."
58595,The Fairytale is Over
102651,Don't believe the fairy tale.
119450,One last chance for peace.
79698,Love is longer than life.
64686,For courage. For loyalty. For honor.
100402,In heroes we trust.
10192,It ain't Ogre... Til it's Ogre
158852,Imagine a world where nothing is impossible.
177572,From the creators of Wreck-it Ralph and Frozen
82690,The story of a regular guy just looking for a ...
5255,This holiday season... believe.
47933,We had twenty years to prepare. So did they.
10191,One adventure will change two worlds
296,The Machines Will Rise.
118340,All heroes start somewhere.
157336,Mankind was born on Earth. It was never meant ...
27205,Your mind is the scene of the crime.
315011,A god incarnate. A city doomed.
49051,From the smallest beginnings come the greatest...
9799,Live life 1/4 mile at a time.
4922,"Life isn't measured in minutes, but in moments."
49538,Witness the moment that will change our world.
131634,The fire will burn forever.
