rid,vid,owner,address,zip
T6285,6285,AGEAN TAXI LLC,4536 N. ELSTON AVE.,60630
T4862,4862,MANGIB CORP.,5717 N. WASHTENAW AVE.,60659
T1495,1495,"FUNRIDE, INC.",3351 W. ADDISON ST.,60618
T4231,4231,ALQUSH CORP.,6611 N. CAMPBELL AVE.,60645
T5971,5971,EUNIFFORD INC.,3351 W. ADDISON ST.,60618
T3311,3311,AHMED VOHRA CAB CO.,9696 W. FOSTER AVE.,60656
T3761,3761,TROJAN CAB CORP,9696 W. FOSTER AVE.,60656
T1918,1918,HARRAH INC,2601 W. PETERSON AVE.,60659
T3446,3446,LUNA TAXICAB INC.,3351 W. ADDISON ST.,60618
T1617,1617,AMPLE SUN CAB CORP.,2617 S. WABASH AVE.,60616
T3867,3867,T-BAR TAXI LLC,2532 W. WARREN BLVD.,60612
T1236,1236,YC20 LLC,3351 W. ADDISON ST.,60618
T2164,2164,COMPUTER CAB CO,4626 W. CORNELIA AVE.,60641
T3399,3399,HAFFARY & BAIICHE CORP.,2601 W. PETERSON AVE.,60659
T6324,6324,IAMA EXPRESS INC,3351 W. ADDISON ST.,60618
T5494,5494,NBA TAXI INC.,4020 W. GLENLAKE AVE.,60646
T227,227,BABY CAB CORP.,2617 S. WABASH AVE.,60616
T1609,1609,MG & KA INC,3351 W. ADDISON ST.,60618
T1447,1447,SNOWSTORM II HACKING CORP.,2617 S. WABASH AVE.,60616
T468,468,M ASANTE INC.,3351 W. ADDISON ST.,60618
T799,799,ALAM ENT INC.,5501 N. MELVINA AVE.,60630
T5694,5694,RAR CAB LLC,9696 W. FOSTER AVE.,60656
T2658,2658,WHITE STAR TAXI INC,3351 W. ADDISON ST.,60618
T6232,6232,VOYAGER CORP,5416 N. BROADWAY,60640
T4961,4961,EDUARDO MANZANAREZ,3351 W. ADDISON ST.,60618
T742,742,HAAEK CORP,6550 N. CLARK ST.,60626
T3595,3595,JULY CAB CORP.,2617 S. WABASH AVE.,60616
T3747,3747,COHEN CAB CORP.,5416 N. BROADWAY ST.,60640
T1484,1484,AQUARIUS CAB INC.,6500 N. WESTERN AVE.,60645
T604,604,SUSAN CAB CORP.,2617 S. WABASH AVE.,60616
T710,710,FLORINA INC.,6500 N. WESTERN AVE.,60645
T3895,3895,GILMART ENTERPRISES INC.,3351 W. ADDISON ST.,60618
T3765,3765,GANIYU O DARANIJO,707 W. WAVELAND AVE.,60613
T88,88,NECT 15 LLC,6500 N. WESTERN AVE.,60645
T2663,2663,"ANGELA TRANS, INC.",2601 W. PETERSON AVE.,60659
T616,616,FOUTA INC.,9696 W. FOSTER AVE.,60656
T3916,3916,ALADIN TAXICAB INC,9696 W. FOSTER AVE.,60656
T1843,1843,MYHATTONE SYSTEM INC,2532 W. WARREN BLVD.,60612
T6632,6632,ON THE GO CAB CO INC,3351 W. ADDISON ST.,60618
T5122,5122,ALLIVE TAXI INC,4827 N. SHERIDAN RD.,60640
T4059,4059,SLSJETS V CAB CORP.,2617 S. WABASH AVE.,60616
T6652,6652,TANVIR ENTERPRISES INC.,3351 W. ADDISON ST.,60618
T3874,3874,DRAKE USA INC,2945 W. PETERSON AVE.,60659
T1302,1302,CHICAGO MEDALLION SEVEN LLC.,9696 W. FOSTER AVE.,60656
T5147,5147,"I & B MIDWEST ENTERPRISE, INC.",2617 S. WABASH AVE.,60616
T2933,2933,RYL SERVICES LLC,9696 W. FOSTER AVE.,60656
T3825,3825,SETARE INC.,2945 W. PETERSON AVE.,60659
T4966,4966,SAHOO TRANSPORT INC,1605 W. LUNT AVE.,60626
T2579,2579,SANTORINI FIVE CAB CORP.,4536 N. ELSTON AVE.,60630
