vid,make,model,year,fuel_type,owner
2767,TOYOTA,CAMRY,2013,HYBRID,SEYED M. BADRI
1411,TOYOTA,RAV4,2017,HYBRID,DESZY CORP.
6500,NISSAN,SENTRA,2019,GASOLINE,AGAPH CAB CORP
2746,TOYOTA,CAMRY,2013,HYBRID,"MIDWEST CAB CO, INC"
5922,TOYOTA,CAMRY,2013,HYBRID,SUMETTI CAB CO
6537,FORD,ESCAPE,2012,HYBRID,BLUE EYES CAB CORP.
1461,TOYOTA,PRIUS,2013,HYBRID,SKAMPA INC.
3524,TOYOTA,CAMRY,2013,HYBRID,EAJJU INC.
5916,TOYOTA,CAMRY,2014,HYBRID,3860 TAXI CORP
5904,TOYOTA,CAMRY,2015,HYBRID,SARDAR BAIG ENTERPRISES INC
1513,TOYOTA,CAMRY,2013,HYBRID,RIDGEVIEW CAB CORP.
2238,TOYOTA,RAV4,2015,GASOLINE,LEROY RAMSAY
5151,TOYOTA,CAMRY,2011,HYBRID,BATUNDE INC
1154,TOYOTA,CAMRY,2019,HYBRID,MM & SS TAXI INC
5338,TOYOTA,CAMRY,2013,HYBRID,SAHARAN CAB INC
4154,TOYOTA,PRIUS,2011,HYBRID,ILYAS & SONS
652,TOYOTA,CAMRY,2015,HYBRID,Z & Z CAB INC
1363,TOYOTA,SIENNA,2019,GASOLINE,1363 CAB INC
3602,TOYOTA,CAMRY,2014,HYBRID,TRANZIT INC.
1778,TOYOTA,CAMRY,2014,HYBRID,A RATTANI INC
6205,FORD,ESCAPE,2011,HYBRID,CHOICE ENTERPRISE INC.
4746,TOYOTA,CAMRY,2017,HYBRID,M & W TAXI INC.
1640,FORD,ESCAPE,2012,HYBRID,AMPLE SUN CAB CORP.
3230,TOYOTA,PRIUS,2012,HYBRID,FULL MOON CAB COMPANY
80,TOYOTA,CAMRY,2016,HYBRID,MCCAB XII CORP.
5347,FORD,ESCAPE,2012,HYBRID,"CHICAGO POLO VIII, INC."
6658,NISSAN,ALTIMA,2017,GASOLINE,SOURCE CAB CO.
6955,DODGE,GRAND CARAVAN,2013,COMPRESSED NATURAL GAS,MIRZASULEMAN CORP
2182,TOYOTA,CAMRY,2013,HYBRID,SAMGATE ACKERPATT
5359,TOYOTA,CAMRY,2013,HYBRID,ASSYRIAN TRANS INC
2408,TOYOTA,CAMRY,2014,HYBRID,STATE TAXI INC
6190,TOYOTA,CAMRY,2015,HYBRID,CHOICE ENTERPRISE INC.
4801,TOYOTA,SIENNA,2018,GASOLINE,TEEMU CORPORATION
1447,FORD,ESCAPE,2012,HYBRID,SNOWSTORM II HACKING CORP.
5187,TOYOTA,CAMRY,2014,HYBRID,JOHAL CAB CO
6332,FORD,ESCAPE,2011,HYBRID,"CHICAGO CAB, INC. #1"
185,TOYOTA,PRIUS,2014,HYBRID,KING EDWARD CAB CORP.
4977,TOYOTA,CAMRY,2014,HYBRID,GHAFFAR CAB CO
4360,TOYOTA,CAMRY,2013,HYBRID,WAHIDA CORP.
4699,FORD,ESCAPE,2012,HYBRID,BAROMETER II HACKING CORP.
5260,TOYOTA,CAMRY,2013,HYBRID,WHITE ROSE CHICAGO CORP
6850,TOYOTA,SIENNA,2019,GASOLINE,A.A.T.Z. CORPORATION
1695,TOYOTA,CAMRY,2011,HYBRID,LAIGHT TAXI CORP.
6954,TOYOTA,COROLLA,2017,GASOLINE,CSKA INC
6256,TOYOTA,CAMRY,2018,HYBRID,ABU-ASSAF CORP
3806,TOYOTA,SIENNA,2018,GASOLINE,"NOORAMZI, INC."
2641,TOYOTA,CAMRY,2012,HYBRID,MCCAB  IV CORP.
2823,TOYOTA,CAMRY,2020,HYBRID,LEE EXPRESS INC
6919,TOYOTA,CAMRY,2015,HYBRID,BIBLIAN TAXI INC.
2361,TOYOTA,CAMRY,2012,HYBRID,STATE TAXI INC
3974,TOYOTA,CAMRY,2015,HYBRID,CHICAGO MEDALLION ONE LLC.
5667,TOYOTA,CAMRY,2014,HYBRID,CAROLINA DELAVINA CORP.
3384,TOYOTA,CAMRY,2020,HYBRID,AZEEM ROSIE INC
904,TOYOTA,CAMRY,2014,HYBRID,MEDALLION FUNDING CHICAGO CORP II
5241,TOYOTA,CAMRY,2013,HYBRID,AL-MEDINA CHICAGO INC
6003,DODGE,CARAVAN,2017,GASOLINE,RIDGEVIEW CAB CORP.
5469,TOYOTA,CAMRY,2013,HYBRID,JEJU CAB CO.
4268,TOYOTA,CAMRY,2017,HYBRID,TAXI MEDALLION GROUP LLC SERIESXXVI
4619,TOYOTA,CAMRY,2014,HYBRID,NNNM CAB CO
5029,TOYOTA,SIENNA,2015,FLEX FUEL,OKUNDAYE & SONS CO
2143,TOYOTA,CAMRY,2014,HYBRID,RAJI INC
5125,TOYOTA,CAMRY,2015,HYBRID,ABRAR CORP.
