Date,EBAY,NVDA,YHOO,AAPL
1/4/2010,23.9,18.49,17.1,214.009998
1/5/2010,23.65,18.76,17.23,214.379993
1/6/2010,23.5,18.879999,17.17,210.969995
1/7/2010,23.229998,18.51,16.700001,210.58
1/8/2010,23.509999,18.549999,16.700001,211.980005
1/11/2010,23.45,18.290001,16.74,210.110003
1/12/2010,23.19,17.67,16.68,207.720001
1/13/2010,23.6,17.91,16.9,210.650002
1/14/2010,22.88,17.629999,17.120001,209.43
1/15/2010,22.469998,17.110001,16.82,205.93
1/19/2010,23.259999,17.43,16.75,215.039995
1/20/2010,22.23,17.360001,16.379999,211.73
1/21/2010,24.129998,17.049999,16.200001,208.069996
1/22/2010,23.579998,16.459999,15.88,197.75
1/25/2010,23.69,16.74,15.86,203.070002
1/26/2010,24.069999,16.209999,15.99,205.940001
1/27/2010,23.969999,16.65,15.98,207.880005
1/28/2010,23.329998,16.09,15.44,199.289995
1/29/2010,23.019999,15.39,15.01,192.060003
2/1/2010,23.169999,16.57,15.05,194.729998
2/2/2010,23.079998,16.74,15.17,195.859997
2/3/2010,23.229998,16.879999,15.46,199.229994
2/4/2010,22.449999,15.9,15.01,192.050003
2/5/2010,22.709999,16.219999,15.19,195.460001
2/8/2010,22.49,16.190001,14.99,194.119997
2/9/2010,22.369998,16.059999,15.07,196.190004
2/10/2010,21.959999,16.370001,14.8,195.120007
2/11/2010,22.13,17.120001,15.22,198.669994
2/12/2010,21.769998,17.35,15.17,200.379993
2/16/2010,22.519998,17.67,15.41,203.399996
2/17/2010,22.68,17.84,15.44,202.550003
2/18/2010,22.84,16.67,15.54,202.929998
2/19/2010,23.419999,16.58,15.58,201.669996
2/22/2010,23.279998,16.610001,15.49,200.419994
2/23/2010,22.89,16.209999,15.38,197.059998
2/24/2010,23.259999,16.549999,15.59,200.66
2/25/2010,23,16.4,15.24,202.000004
2/26/2010,23.019999,16.200001,15.31,204.619997
3/1/2010,23.879998,16.85,15.79,208.990004
3/2/2010,23.99,16.84,15.73,208.85
3/3/2010,23.509999,16.629999,15.57,209.329998
3/4/2010,23.779998,16.66,15.81,210.710003
3/5/2010,24.629999,17.17,16.059999,218.950005
3/8/2010,24.839998,16.92,16.52,219.079994
3/9/2010,25.51,17.549999,16.530001,223.020004
3/10/2010,25.56,17.59,16.790001,224.839993
3/11/2010,25.439998,17.190001,16.530001,225.500008
3/12/2010,25.969999,17.25,16.32,226.600006
3/15/2010,26.279999,17.16,16.459999,223.839996
3/16/2010,26.789999,17.76,16.360001,224.449997
3/17/2010,26.979999,18.1,16.5,224.120003
3/18/2010,27.46,17.459999,16.559999,224.650002
3/19/2010,27.189999,17.25,16.440001,222.25
3/22/2010,27.07,17.530001,16.34,224.750004
3/23/2010,27.049998,17.889999,16.030001,228.359993
3/24/2010,26.939999,17.290001,16.09,229.370003
3/25/2010,27.559998,17.34,16.32,226.649994
3/26/2010,27.449998,17.34,16.540001,230.899998
3/29/2010,27.279999,17.559999,16.559999,232.389992
3/30/2010,27.139999,17.629999,16.610001,235.849991
3/31/2010,26.97,17.4,16.530001,235.000011
4/1/2010,26.57,17.219999,16.290001,235.969994
4/5/2010,27.37,17.48,16.51,238.489998
4/6/2010,27.27,17.049999,16.92,239.540009
4/7/2010,26.849998,17.16,16.870001,240.600006
4/8/2010,26.46,16.879999,17.35,239.950005
4/9/2010,26.549998,16.99,17.52,241.789993
4/12/2010,26.629999,17.299999,17.639999,242.290005
4/13/2010,26.639999,17.66,18.18,242.430008
4/14/2010,27.039999,17.879999,18.379999,245.690002
4/15/2010,26.979999,18.01,18.969999,248.92001
4/16/2010,26.329999,17.059999,18.17,247.400002
4/19/2010,26.32,16.98,18.389999,247.070007
4/20/2010,26.399998,17.040001,18.379999,244.590004
4/21/2010,26.289999,16.6,17.450001,259.220005
4/22/2010,24.779999,16.67,17.719999,266.469997
4/23/2010,24.55,16.440001,17.639999,270.82999
4/26/2010,24.559999,16.6,17.389999,269.5
4/27/2010,23.769999,16.129999,16.92,262.039989
4/28/2010,23.99,16.16,16.75,261.600006
4/29/2010,24.24,16.65,16.969999,268.640007
4/30/2010,23.779998,15.71,16.530001,261.090008
5/3/2010,23.909999,15.54,16.950001,266.349995
5/4/2010,23.079998,14.75,16.32,258.679993
5/5/2010,22.659999,14.5,16.49,255.989998
5/6/2010,22.269998,14.2,15.92,246.249989
5/7/2010,21.48,13.96,15.29,235.860004
5/10/2010,22.33,14.56,16.33,253.990005
5/11/2010,22.38,14.4,16.41,256.519997
5/12/2010,22.509999,14.68,16.469999,262.090004
