Date,EBAY,NVDA,YHOO
1/4/2010,23.9,18.49,17.1
1/5/2010,23.65,18.76,17.23
1/6/2010,23.5,18.879999,17.17
1/7/2010,23.229998,18.51,16.700001
1/8/2010,23.509999,18.549999,16.700001
1/11/2010,23.45,18.290001,16.74
1/12/2010,23.19,17.67,16.68
1/13/2010,23.6,17.91,16.9
1/14/2010,22.88,17.629999,17.120001
1/15/2010,22.469998,17.110001,16.82
1/19/2010,23.259999,17.43,16.75
1/20/2010,22.23,17.360001,16.379999
1/21/2010,24.129998,17.049999,16.200001
1/22/2010,23.579998,16.459999,15.88
1/25/2010,23.69,16.74,15.86
1/26/2010,24.069999,16.209999,15.99
1/27/2010,23.969999,16.65,15.98
1/28/2010,23.329998,16.09,15.44
1/29/2010,23.019999,15.39,15.01
2/1/2010,23.169999,16.57,15.05
2/2/2010,23.079998,16.74,15.17
2/3/2010,23.229998,16.879999,15.46
2/4/2010,22.449999,15.9,15.01
2/5/2010,22.709999,16.219999,15.19
2/8/2010,22.49,16.190001,14.99
2/9/2010,22.369998,16.059999,15.07
2/10/2010,21.959999,16.370001,14.8
2/11/2010,22.13,17.120001,15.22
2/12/2010,21.769998,17.35,15.17
2/16/2010,22.519998,17.67,15.41
2/17/2010,22.68,17.84,15.44
2/18/2010,22.84,16.67,15.54
2/19/2010,23.419999,16.58,15.58
2/22/2010,23.279998,16.610001,15.49
2/23/2010,22.89,16.209999,15.38
2/24/2010,23.259999,16.549999,15.59
2/25/2010,23,16.4,15.24
2/26/2010,23.019999,16.200001,15.31
3/1/2010,23.879998,16.85,15.79
3/2/2010,23.99,16.84,15.73
3/3/2010,23.509999,16.629999,15.57
3/4/2010,23.779998,16.66,15.81
3/5/2010,24.629999,17.17,16.059999
3/8/2010,24.839998,16.92,16.52
3/9/2010,25.51,17.549999,16.530001
3/10/2010,25.56,17.59,16.790001
3/11/2010,25.439998,17.190001,16.530001
3/12/2010,25.969999,17.25,16.32
3/15/2010,26.279999,17.16,16.459999
3/16/2010,26.789999,17.76,16.360001
3/17/2010,26.979999,18.1,16.5
3/18/2010,27.46,17.459999,16.559999
3/19/2010,27.189999,17.25,16.440001
