Date,EBAY,YAHOO
1/4/2010,23.9,17.1
1/5/2010,23.65,17.23
1/6/2010,23.5,17.17
1/7/2010,23.229998,16.700001
1/8/2010,23.509999,16.700001
1/11/2010,23.45,16.74
1/12/2010,23.19,16.68
1/13/2010,23.6,16.9
1/14/2010,22.88,17.120001
1/15/2010,22.469998,16.82
1/19/2010,23.259999,16.75
1/20/2010,22.23,16.379999
1/21/2010,24.129998,16.200001
1/22/2010,23.579998,15.88
1/25/2010,23.69,15.86
1/26/2010,24.069999,15.99
1/27/2010,23.969999,15.98
1/28/2010,23.329998,15.44
1/29/2010,23.019999,15.01
2/1/2010,23.169999,15.05
2/2/2010,23.079998,15.17
2/3/2010,23.229998,15.46
2/4/2010,22.449999,15.01
2/5/2010,22.709999,15.19
2/8/2010,22.49,14.99
2/9/2010,22.369998,15.07
2/10/2010,21.959999,14.8
2/11/2010,22.13,15.22
2/12/2010,21.769998,15.17
2/16/2010,22.519998,15.41
2/17/2010,22.68,15.44
2/18/2010,22.84,15.54
2/19/2010,23.419999,15.58
2/22/2010,23.279998,15.49
2/23/2010,22.89,15.38
2/24/2010,23.259999,15.59
2/25/2010,23,15.24
2/26/2010,23.019999,15.31
3/1/2010,23.879998,15.79
3/2/2010,23.99,15.73
3/3/2010,23.509999,15.57
3/4/2010,23.779998,15.81
3/5/2010,24.629999,16.059999
3/8/2010,24.839998,16.52
3/9/2010,25.51,16.530001
3/10/2010,25.56,16.790001
3/11/2010,25.439998,16.530001
3/12/2010,25.969999,16.32
3/15/2010,26.279999,16.459999
3/16/2010,26.789999,16.360001
3/17/2010,26.979999,16.5
3/18/2010,27.46,16.559999
3/19/2010,27.189999,16.440001
3/22/2010,27.07,16.34
3/23/2010,27.049998,16.030001
3/24/2010,26.939999,16.09
3/25/2010,27.559998,16.32
3/26/2010,27.449998,16.540001
3/29/2010,27.279999,16.559999
3/30/2010,27.139999,16.610001
3/31/2010,26.97,16.530001
4/1/2010,26.57,16.290001
4/5/2010,27.37,16.51
4/6/2010,27.27,16.92
4/7/2010,26.849998,16.870001
4/8/2010,26.46,17.35
4/9/2010,26.549998,17.52
4/12/2010,26.629999,17.639999
4/13/2010,26.639999,18.18
4/14/2010,27.039999,18.379999
4/15/2010,26.979999,18.969999
4/16/2010,26.329999,18.17
4/19/2010,26.32,18.389999
4/20/2010,26.399998,18.379999
4/21/2010,26.289999,17.450001
4/22/2010,24.779999,17.719999
4/23/2010,24.55,17.639999
4/26/2010,24.559999,17.389999
4/27/2010,23.769999,16.92
4/28/2010,23.99,16.75
4/29/2010,24.24,16.969999
4/30/2010,23.779998,16.530001
5/3/2010,23.909999,16.950001
5/4/2010,23.079998,16.32
5/5/2010,22.659999,16.49
5/6/2010,22.269998,15.92
5/7/2010,21.48,15.29
5/10/2010,22.33,16.33
5/11/2010,22.38,16.41
5/12/2010,22.509999,16.469999
5/13/2010,22.68,16.139999
5/14/2010,22.249999,16.389999
5/17/2010,22.509999,16.27
5/18/2010,22.169998,16.030001
5/19/2010,21.64,15.79
5/20/2010,20.809998,15.1
5/21/2010,21.42,15.48
5/24/2010,21.359999,15.54
5/25/2010,21.59,15.31
5/26/2010,21.38,15.45
5/27/2010,21.909999,15.69
5/28/2010,21.409999,15.34
6/1/2010,20.959999,15.02
6/2/2010,21.249999,15.18
6/3/2010,22.18,15.43
6/4/2010,21.99,15
6/7/2010,21.549999,14.94
6/8/2010,21.69,14.79
6/9/2010,21.78,14.69
6/10/2010,22.28,15.1
6/11/2010,22.649999,15.29
6/14/2010,22.209999,15.17
6/15/2010,22.39,15.65
6/16/2010,22.13,15.49
6/17/2010,22.099999,15.6
6/18/2010,22.159999,15.54
6/21/2010,21.869998,15.21
6/22/2010,21.559999,15.09
6/23/2010,21.34,15.23
6/24/2010,20.859998,14.83
6/25/2010,20.949999,14.81
6/28/2010,20.709998,14.73
6/29/2010,19.689999,14.04
6/30/2010,19.61,13.84
7/1/2010,19.639999,14.09
7/2/2010,19.26,14.07
7/6/2010,19.349999,14.13
7/7/2010,19.81,14.4
7/8/2010,19.889999,14.6
7/9/2010,20.289999,14.89
7/12/2010,20.22,14.94
7/13/2010,21.009999,15.52
7/14/2010,21.109999,15.37
7/15/2010,21.03,15.37
7/16/2010,20.089999,14.9
7/19/2010,20.399999,15.1
7/20/2010,20.789999,15.2
7/21/2010,20.17,13.91
7/22/2010,20.939999,13.88
7/23/2010,21.089999,13.99
7/26/2010,21.139999,14.15
7/27/2010,21.039999,13.95
7/28/2010,21.039999,13.87
7/29/2010,20.77,13.76
7/30/2010,20.909998,13.88
8/2/2010,21.459999,14
8/3/2010,20.97,13.94
